roi,brain_metric,model_rdm,level,comparator,n_stimuli,n_cells,r_sb_model,l1_cv_model,subject,row_type,score_obs,score_per_subject,perm_p,perm_z,n_perm,perm_seed,nili_upper,nili_lower,nili_upper_ci_lo,nili_upper_ci_hi,nili_lower_ci_lo,nili_lower_ci_hi,nili_crossed,l1_baseline,l1_cv_brain,achievement_nili_lower,achievement_nili_upper,r_hh_brain,r_sb_brain,split_mode,n_splits,ceiling_one_sided,ceiling_two_sided,achievement_one_sided,achievement_two_sided,degenerate
LOC,correlation,weights_sorted_fMRI1_test_100_choice_probability_rdm.csv,L1,l1_r0,100,4950,1.0,0.6215286405986206,F1+F2+F3,nili,0.8324823205489197,0.832220;0.829365;0.835862,1.0,-4.951609520521758,1000,3589424845165706227,0.9932821775910972,0.9848752464191871,0.993282177591097,1.0000000000000002,0.9848752464191871,1.0,False,0.8374631550978231,,-0.03378850747083563,-0.03196551017458995,,,,,,,,,False
LOC,correlation,weights_sorted_fMRI1_test_100_choice_probability_rdm.csv,L1,l1_r0,100,4950,1.0,0.6215286405986206,sub-01,split_half,0.8322195968225834,,1.0,-4.556644241616321,1000,3589424845165706228,,,,,,,False,0.8381397295790025,0.1638855755675248,,,0.9873799073643864,0.993649884157101,all,462.0,0.99681988551448,0.99681988551448,-0.0373085892279206,-0.0373085892279206,False
LOC,correlation,weights_sorted_fMRI1_test_100_choice_probability_rdm.csv,L1,l1_r0,100,4950,1.0,0.6215286405986206,sub-02,split_half,0.8293650879119242,,0.998001998001998,-2.8632946257137846,1000,3589424845165706229,,,,,,,False,0.8339246173557449,0.19304229597369058,,,0.9881640080751104,0.9940467728633972,all,462.0,0.997018943081523,0.997018943081523,-0.027956395316210508,-0.027956395316210508,False
LOC,correlation,weights_sorted_fMRI1_test_100_choice_probability_rdm.csv,L1,l1_r0,100,4950,1.0,0.6215286405986206,sub-03,split_half,0.8358622769122515,,0.999000999000999,-3.7223283388097883,1000,3589424845165706230,,,,,,,False,0.8403251183587217,0.1467120805157802,,,0.9897458686497292,0.994846512053708,all,462.0,0.997419927640163,0.997419927640163,-0.028408586298194594,-0.028408586298194594,False
LOC,correlation,weights_sorted_fMRI1_test_100_choice_probability_rdm.csv,L2,pearson,100,4950,1.0,,F1+F2+F3,nili,-0.05802860201678226,-0.069659;-0.045843;-0.058584,1.0,-5.0022646132152975,1000,3589424845165706227,0.7241934905900479,0.35848481513640684,0.7241934905900479,1.0,0.35848481513640684,1.0,False,,,-0.16187185500368217,-0.08012858824442423,,,,,,,,,False
LOC,correlation,weights_sorted_fMRI1_test_100_choice_probability_rdm.csv,L2,pearson,100,4950,1.0,,sub-01,split_half,-0.06965888772964877,,1.0,-4.556644241616423,1000,3589424845165706228,,,,,,,False,,,,,0.2821658191902222,0.4401393563407107,all,462.0,0.6634299935492144,0.6634299935492144,-0.10499809837807907,-0.10499809837807907,False
LOC,correlation,weights_sorted_fMRI1_test_100_choice_probability_rdm.csv,L2,pearson,100,4950,1.0,,sub-02,split_half,-0.04584271650760077,,0.998001998001998,-2.863294625713771,1000,3589424845165706229,,,,,,,False,,,,,0.4736228051643895,0.6428005911751001,all,462.0,0.8017484587918459,0.8017484587918459,-0.05717842797812312,-0.05717842797812312,False
LOC,correlation,weights_sorted_fMRI1_test_100_choice_probability_rdm.csv,L2,pearson,100,4950,1.0,,sub-03,split_half,-0.05858420181309724,,0.999000999000999,-3.7223283388096333,1000,3589424845165706230,,,,,,,False,,,,,0.2490682284967973,0.3988064427778149,all,462.0,0.6315112372537918,0.6315112372537918,-0.09276826500801191,-0.09276826500801191,False
LOC,correlation,weights_sorted_fMRI1_test_100_choice_probability_rdm.csv,L3,spearman,100,4950,1.0,,F1+F2+F3,nili,-0.05865503456021221,-0.072449;-0.051216;-0.052299,0.998001998001998,-3.226301224069691,1000,3589424845165706227,0.7166139740598725,0.3487817515255589,0.7166139740598725,0.9999999999999999,0.3487817515255589,0.9999999999999999,False,,,-0.1681711680833564,-0.0818502522744716,,,,,,,,,False
LOC,correlation,weights_sorted_fMRI1_test_100_choice_probability_rdm.csv,L3,spearman,100,4950,1.0,,sub-01,split_half,-0.0724492278658325,,0.999000999000999,-3.1248221203355286,1000,3589424845165706228,,,,,,,False,,,,,0.2486916142364831,0.3983235114276738,all,462.0,0.6311287597849379,0.6311287597849379,-0.11479310163352427,-0.11479310163352427,False
LOC,correlation,weights_sorted_fMRI1_test_100_choice_probability_rdm.csv,L3,spearman,100,4950,1.0,,sub-02,split_half,-0.05121643722210463,,0.968031968031968,-1.9720605506012912,1000,3589424845165706229,,,,,,,False,,,,,0.4397427815640964,0.61086297801941,all,462.0,0.7815772373984609,0.7815772373984609,-0.06552959166592726,-0.06552959166592726,False
LOC,correlation,weights_sorted_fMRI1_test_100_choice_probability_rdm.csv,L3,spearman,100,4950,1.0,,sub-03,split_half,-0.052299438592699525,,0.975024975024975,-2.138267815382114,1000,3589424845165706230,,,,,,,False,,,,,0.2337793407971959,0.3789645896423285,all,462.0,0.6156009987340245,0.6156009987340245,-0.08495671498300465,-0.08495671498300465,False
LOC,correlation,weights_sorted_fMRI1_test_100_choice_probability_rdm.csv,L3,kendall,100,4950,1.0,,F1+F2+F3,nili,-0.039374032641359365,-0.048144;-0.034553;-0.035425,0.998001998001998,-3.245030893294106,1000,3589424845165706227,0.5196593248827691,0.23688202076827422,0.5196593248827691,0.9999999999999999,0.23688202076827422,0.9999999999999999,False,,,-0.16621790253924057,-0.07576893313757398,,,,,,,,,False
LOC,correlation,weights_sorted_fMRI1_test_100_choice_probability_rdm.csv,L3,kendall,100,4950,1.0,,sub-01,split_half,-0.04814350822837385,,0.999000999000999,-3.113167412130905,1000,3589424845165706228,,,,,,,False,,,,,0.1679771744291665,0.2876377691392183,all,462.0,0.5363187197359591,0.5363187197359591,-0.0897666004499636,-0.0897666004499636,False
LOC,correlation,weights_sorted_fMRI1_test_100_choice_probability_rdm.csv,L3,kendall,100,4950,1.0,,sub-02,split_half,-0.03455341452512598,,0.9690309690309691,-1.994323221257059,1000,3589424845165706229,,,,,,,False,,,,,0.3032019957892953,0.4653184951664511,all,462.0,0.6821425768609163,0.6821425768609163,-0.05065424105930154,-0.05065424105930154,False
LOC,correlation,weights_sorted_fMRI1_test_100_choice_probability_rdm.csv,L3,kendall,100,4950,1.0,,sub-03,split_half,-0.03542517517057828,,0.9790209790209791,-2.1738138207530486,1000,3589424845165706230,,,,,,,False,,,,,0.1574359485599589,0.2720426106616702,all,462.0,0.5215770419235016,0.5215770419235016,-0.06791935289163666,-0.06791935289163666,False
LOC,correlation,weights_sorted_fMRI1_test_100_cosine_rdm.csv,L1,l1_r0,100,4950,1.0,0.2607311040005725,F1+F2+F3,nili,0.9566505143285653,0.958873;0.951293;0.959785,0.001998001998001998,3.1661998541771825,1000,13730506320845282528,0.9932821775910972,0.9848752464191871,0.993282177591097,1.0000000000000002,0.9848752464191871,1.0,False,0.9541403890115218,,0.0816703095039413,0.06412903978417947,,,,,,,,,False
LOC,correlation,weights_sorted_fMRI1_test_100_cosine_rdm.csv,L1,l1_r0,100,4950,1.0,0.2607311040005725,sub-01,split_half,0.9588730843446697,,0.000999000999000999,3.61694385635651,1000,13730506320845282529,,,,,,,False,0.9549112253578592,0.1638855755675248,,,0.9873799073643864,0.993649884157101,all,462.0,0.99681988551448,0.99681988551448,0.0945355678755708,0.0945355678755708,False
LOC,correlation,weights_sorted_fMRI1_test_100_cosine_rdm.csv,L1,l1_r0,100,4950,1.0,0.2607311040005725,sub-02,split_half,0.9512929607941025,,0.18281718281718282,0.9033248102054062,1000,13730506320845282530,,,,,,,False,0.9501088543019571,0.19304229597369058,,,0.9881640080751104,0.9940467728633972,all,462.0,0.997018943081523,0.997018943081523,0.02524204329924864,0.02524204329924864,False
